CompanyID,Name,Industry,Sector,Notes,Headquarters,Name_One,Name_Two,Label
0,1-800-GOT-JUNK?,Industrials,Waste & disposal services,Junk removal,Vancouver,1-800-GOT-JUNK?,RBDS Rubbish Boys Disposal Service Inc.,1
0,1-800-GOT-JUNK?,Industrials,Waste & disposal services,Junk removal,Vancouver,1-800-GOT-JUNK?,1-800-JUNK-PROS Ltd.,0
1,Norda Stelo,Industrials,Construction & Materials,Integrated projects,Quebec City,Norda Stelo,GENIVAR Inc.,1
1,Norda Stelo,Industrials,Construction & Materials,Integrated projects,Quebec City,Norda Stelo,Noranda Inc.,0
2,3Way International Logistics,Industrials,Business support services,Freight forwarding,Mississauga,3Way International Logistics,Three-Way Int'l Logistics Corp.,1
2,3Way International Logistics,Industrials,Business support services,Freight forwarding,Mississauga,3Way International Logistics,3Way Transportation Services Inc.,0
4,A&W,Consumer services,Restaurants & bars,Fast food chain,North Vancouver,A&W,A and W Revenue Royalties Income Fund,1
4,A&W,Consumer services,Restaurants & bars,Fast food chain,North Vancouver,A&W,A&W Restaurants Inc.,0
5,ABS Friction[10],Manufacturing,Brake pads,Vehicle aftermarket,"Guelph, Ontario",ABS Friction[10],ABS Automotive Inc.,1
5,ABS Friction[10],Manufacturing,Brake pads,Vehicle aftermarket,"Guelph, Ontario",ABS Friction[10],ABS Manufacturing Inc.,0
6,Access Communications,Telecommunications,Fixed line telecommunications,Cable television provider,Regina,Access Communications,Access Cable,1
6,Access Communications,Telecommunications,Fixed line telecommunications,Cable television provider,Regina,Access Communications,Access Communications Co-operative Limited,0
7,Ache Records,Consumer services,Broadcasting & entertainment,Record label,Vancouver,Ache Records,Ache Music Enterprises Ltd.,1
7,Ache Records,Consumer services,Broadcasting & entertainment,Record label,Vancouver,Ache Records,Ace Recordings Ltd.,0
8,Addition Elle,Consumer services,Apparel retailers,Women's clothing retailer,Montreal,Addition Elle,Reitmans (Canada) Limited,1
8,Addition Elle,Consumer services,Apparel retailers,Women's clothing retailer,Montreal,Addition Elle,Addition L Elle Inc.,0
9,Advanced Cyclotron Systems,Health care,Medical equipment,Medical cyclotrons,Richmond,Advanced Cyclotron Systems,ACSI Inc.,1
9,Advanced Cyclotron Systems,Health care,Medical equipment,Medical cyclotrons,Richmond,Advanced Cyclotron Systems,Advanced System Centron,0
10,Affinity Credit Union,Financials,Banks,Credit union,Saskatoon,Affinity Credit Union,CUSO Financial Affinity,1
